,id,yr_sold,garage_area,year_built,full_bath,year_remod/add,fireplaces,overall_cond,lot_area,lot_frontage,neighborhood,bldg_type,kitchen_qual,saleprice
42,983,2009,602,1978,1,1978,1,6,9101,0,Mitchel,1Fam,Gd,165500
43,1325,2008,352,1954,2,1954,0,5,12150,81,OldTown,1Fam,TA,131500
44,1378,2008,384,1965,1,1965,0,5,11200,70,Sawyer,1Fam,TA,129500
45,1537,2008,786,1935,1,1950,2,6,9670,100,Crawfor,1Fam,TA,257076
46,905,2009,660,1941,2,1960,0,5,10998,60,Edwards,1Fam,TA,117000
47,1532,2008,270,1931,1,2000,1,6,7200,60,Crawfor,1Fam,TA,149000
48,132,2010,280,1954,1,1954,0,5,9920,80,NAmes,1Fam,TA,128000
49,1078,2008,474,2003,2,2004,0,5,2448,36,NridgHt,Twnhs,Gd,155000
50,2511,2006,440,2000,2,2000,0,5,2998,0,Somerst,TwnhsE,Gd,166000
51,912,2009,576,1928,2,1950,2,3,7804,65,SWISU,1Fam,Gd,135000
52,2351,2006,564,1978,3,1978,2,5,16692,80,NWAmes,1Fam,Gd,250000
53,330,2010,0,1970,1,1970,0,7,1476,21,MeadowV,Twnhs,TA,76000
54,2586,2006,400,1951,1,1951,1,6,10170,75,NAmes,1Fam,Gd,155000
55,224,2010,299,1969,1,1969,0,7,9364,80,Sawyer,1Fam,TA,158000
56,98,2010,480,2004,2,2005,0,5,2544,24,Somerst,Twnhs,Gd,149500
57,2565,2006,240,1954,1,1975,0,6,9888,82,NAmes,1Fam,TA,121000
58,1934,2007,293,1953,1,1953,0,7,7942,68,NAmes,1Fam,TA,136000
59,997,2008,386,1996,2,1996,1,5,15038,0,Gilbert,1Fam,TA,173000
60,64,2010,671,1999,2,2007,1,7,11764,92,NoRidge,1Fam,Gd,290000
61,1799,2007,550,2007,2,2007,1,5,9000,75,Somerst,1Fam,Ex,303477
62,230,2010,690,1977,1,2001,2,7,20062,0,ClearCr,1Fam,TA,270000
63,1295,2008,225,1920,1,1950,1,5,7308,81,OldTown,1Fam,Ex,122250
64,638,2009,350,1955,1,1955,0,5,8750,70,NAmes,1Fam,Gd,153000
65,2278,2007,0,2007,1,2007,0,5,8402,70,Mitchel,1Fam,TA,147000
66,2202,2007,216,1930,1,1995,1,8,4000,63,Crawfor,1Fam,TA,148500
67,2833,2006,380,2004,2,2004,0,5,3363,32,Edwards,TwnhsE,Gd,130000
68,1707,2007,843,2006,2,2006,1,5,13615,94,NridgHt,1Fam,Ex,372000
69,2428,2006,440,2005,2,2005,1,5,3013,43,Blmngtn,TwnhsE,Gd,213490
70,242,2010,572,2009,1,2010,2,5,17485,44,Edwards,1Fam,Gd,308030
71,1564,2008,786,1996,3,1997,0,5,23730,0,Mitchel,1Fam,Gd,300000
72,2613,2006,539,1959,1,1959,1,6,8910,79,NAmes,1Fam,TA,159500
73,2832,2006,380,2004,2,2004,0,5,2522,24,Edwards,Twnhs,Gd,137500
74,2459,2006,834,2005,2,2005,0,5,8688,73,Somerst,1Fam,Gd,232000
75,1360,2008,440,1930,1,1950,0,6,6291,0,IDOTRR,1Fam,TA,93850
76,2723,2006,322,1924,1,1950,1,5,17529,0,Sawyer,1Fam,Fa,105000
77,1350,2008,240,1927,1,1950,0,6,6324,60,BrkSide,1Fam,Fa,68500
78,136,2010,480,1960,2,1960,0,5,11600,80,NAmes,Duplex,TA,154300
79,2235,2007,0,1925,2,2003,0,7,7288,50,IDOTRR,1Fam,TA,129850
80,1993,2007,480,1910,1,1950,0,7,4571,35,OldTown,1Fam,TA,114000
81,367,2009,1166,2008,2,2009,1,5,17423,63,StoneBr,1Fam,Ex,501837
82,1309,2008,720,1915,1,1950,1,8,12665,100,OldTown,1Fam,TA,153900
83,402,2009,576,1971,1,2006,0,7,9000,60,NAmes,1Fam,TA,130000
84,1592,2008,392,1997,2,1997,0,5,4500,32,Mitchel,TwnhsE,TA,160500
85,2409,2006,575,2006,2,2006,1,5,6373,48,NridgHt,TwnhsE,Gd,310090
86,539,2009,555,2003,2,2003,0,5,10083,67,SawyerW,1Fam,Gd,184900
87,1940,2007,252,1956,1,2000,0,7,13300,70,NAmes,1Fam,TA,132000
88,588,2009,502,1969,2,1969,1,5,9600,80,NWAmes,1Fam,TA,163000
89,96,2010,480,2004,2,2004,0,5,3215,30,Somerst,TwnhsE,Gd,155000
90,1187,2008,516,1969,2,1969,0,6,11104,0,NWAmes,1Fam,TA,183000
91,2154,2007,608,1996,2,2002,2,5,15295,0,CollgCr,1Fam,Gd,211000
92,550,2009,495,1994,2,1994,0,5,9109,70,SawyerW,1Fam,Gd,184000
93,811,2009,400,1979,2,1979,0,5,7018,64,SawyerW,Duplex,TA,118858
94,124,2010,484,1964,1,1964,1,7,14112,0,NAmes,1Fam,TA,180500
95,1836,2007,484,2006,2,2007,0,5,3523,80,Somerst,TwnhsE,Gd,166000
96,779,2009,480,1960,1,1960,1,5,15312,88,Sawyer,1Fam,TA,148000
97,1886,2007,396,1956,1,1956,1,5,7450,74,NAmes,1Fam,Gd,124000
98,1724,2007,556,2005,2,2005,1,5,7313,60,NridgHt,TwnhsE,Ex,277500
99,2450,2006,725,1995,2,1995,1,5,10019,83,NoRidge,1Fam,Gd,350000
100,1013,2008,670,2004,2,2004,1,5,15401,53,StoneBr,1Fam,Ex,387000
101,2084,2007,0,1920,1,2002,0,7,9098,58,Edwards,1Fam,TA,86000
102,1184,2008,550,1976,3,2007,1,9,16280,103,Veenker,1Fam,Ex,290000
103,728,2009,0,1900,1,1950,0,3,9392,72,IDOTRR,1Fam,TA,44000
104,950,2009,560,2001,2,2002,1,5,12209,71,Mitchel,1Fam,Gd,215000
105,2524,2006,501,1972,2,1972,0,6,13110,79,NWAmes,2fmCon,TA,146500
106,2513,2006,490,2000,2,2000,0,5,2651,0,Somerst,Twnhs,Gd,165000
107,2028,2007,216,1916,2,1950,1,7,8520,60,OldTown,1Fam,Gd,136000
108,2309,2006,550,1957,1,1957,2,6,39384,0,NAmes,1Fam,Ex,252000
109,51,2010,474,2003,2,2003,0,5,2628,36,NridgHt,Twnhs,Gd,175500
110,699,2009,400,1939,1,1950,1,6,6406,57,OldTown,1Fam,TA,150000
111,1881,2007,286,1960,1,1978,1,5,12342,0,NAmes,1Fam,TA,139900
112,1345,2008,360,1930,2,1992,1,7,6240,52,BrkSide,1Fam,TA,162900
113,166,2010,440,1962,1,1962,0,6,10000,87,NAmes,1Fam,TA,160000
114,781,2009,0,1947,1,1950,0,2,9000,0,Sawyer,1Fam,Fa,63900
115,379,2009,479,1978,2,1998,1,5,11088,80,NWAmes,1Fam,TA,184000
116,2818,2006,528,1959,1,1959,2,4,17755,134,Edwards,1Fam,Fa,149900
117,1168,2008,495,2000,2,2000,1,5,4765,0,Somerst,TwnhsE,Ex,300000
118,1396,2008,626,1960,2,1960,2,3,10532,0,ClearCr,1Fam,TA,145000
119,838,2009,470,1997,2,1997,0,5,15426,65,CollgCr,1Fam,Gd,231500
120,1492,2008,0,1940,1,1969,1,6,13907,63,Edwards,1Fam,TA,108000
121,637,2009,304,1956,1,1956,0,5,8750,70,NAmes,1Fam,TA,120000
122,1826,2007,572,1961,1,1961,0,5,9945,0,Sawyer,1Fam,TA,128500
123,173,2010,360,1927,1,1950,1,6,8960,56,OldTown,1Fam,TA,115000
124,715,2009,240,1947,1,1950,0,7,3500,50,OldTown,1Fam,TA,110000
125,1183,2008,864,1977,2,1977,1,3,24572,0,Veenker,1Fam,Gd,150000
126,2433,2006,403,2004,2,2004,1,5,9056,74,Gilbert,1Fam,Gd,178000
127,2866,2006,579,1932,1,1990,2,7,12320,70,Crawfor,1Fam,Gd,199500
128,2311,2006,400,1997,2,1998,1,5,8238,60,Gilbert,1Fam,TA,183500
129,1551,2008,288,1967,1,1967,1,5,6000,75,IDOTRR,1Fam,TA,126000
130,1049,2008,440,1977,2,1977,0,6,2529,24,NPkVill,Twnhs,TA,148500
131,657,2009,720,1939,2,2006,0,7,10800,60,OldTown,1Fam,Gd,149000
132,414,2009,440,1977,2,1977,1,5,2349,24,NPkVill,Twnhs,TA,137900
133,1181,2008,473,1993,1,1993,2,5,10846,32,Veenker,TwnhsE,Gd,324000
134,1514,2008,0,1925,1,1950,0,6,5604,67,Edwards,1Fam,TA,98000
135,1040,2008,264,1973,1,1973,0,5,1680,21,BrDale,Twnhs,TA,103400
136,216,2010,0,1875,1,1996,0,8,6342,54,Sawyer,1Fam,TA,94000
137,1720,2007,627,2006,2,2006,1,5,4590,34,NridgHt,Twnhs,Gd,209500
138,2331,2006,758,2006,3,2006,1,5,18062,60,StoneBr,1Fam,Ex,545224
139,204,2010,0,1912,1,2009,0,8,12900,60,OldTown,1Fam,Gd,159900
140,19,2010,400,1951,1,1951,0,5,19138,140,Gilbert,1Fam,TA,141000
141,2438,2006,431,2000,2,2000,1,5,8658,0,Gilbert,1Fam,TA,215000
142,89,2010,260,1962,1,2010,0,8,6897,0,Sawyer,1Fam,TA,127000
143,240,2010,366,1954,1,1998,0,7,9525,75,Edwards,1Fam,TA,128000
144,105,2010,852,2010,1,2010,1,5,12853,57,Somerst,1Fam,Gd,267916
145,2020,2007,560,1931,1,1950,1,6,6240,52,BrkSide,1Fam,TA,127500
146,888,2009,672,2003,3,2003,1,5,7301,64,Edwards,1Fam,Gd,198500
147,1019,2008,576,1981,2,1981,1,6,12090,78,NWAmes,1Fam,Gd,175500
148,2132,2007,486,2000,2,2000,1,5,8826,0,CollgCr,1Fam,Gd,217500
149,203,2010,572,1915,1,1950,1,5,8094,57,OldTown,1Fam,TA,149500
150,420,2009,656,1966,1,2004,1,7,10710,0,NAmes,1Fam,TA,148800
151,2333,2006,716,2005,3,2006,1,5,16056,85,StoneBr,1Fam,Ex,556581
152,632,2009,442,1957,1,1957,2,3,8400,70,NAmes,1Fam,TA,156500
153,2800,2006,610,1995,2,1996,1,5,11250,90,CollgCr,1Fam,Gd,237000
154,1885,2007,297,1958,1,1985,0,7,7535,70,NAmes,1Fam,TA,120000
155,1734,2007,388,2005,2,2005,0,5,12216,88,Gilbert,1Fam,Gd,203000
156,2327,2006,461,1987,2,1987,0,5,3701,30,StoneBr,TwnhsE,TA,130000
157,1282,2008,442,1964,1,1964,0,6,9760,80,NAmes,1Fam,TA,167900
158,2688,2006,576,1970,1,1970,0,5,9873,60,BrkSide,2fmCon,TA,129000
159,2581,2006,447,1957,1,1996,1,6,10011,72,NAmes,1Fam,Gd,134450
160,2067,2007,576,1918,2,2007,0,7,25339,0,Sawyer,1Fam,Gd,112000
161,2115,2007,619,1988,2,1988,1,5,8883,0,SawyerW,1Fam,Gd,207000
162,754,2009,0,1922,2,1950,0,1,3000,50,OldTown,Duplex,TA,62500
163,1079,2008,474,2003,2,2004,0,5,2448,36,NridgHt,Twnhs,Gd,154000
164,2615,2006,308,1957,1,1957,0,7,7100,73,NAmes,1Fam,TA,129900
165,329,2010,336,1976,1,1976,0,3,2592,36,MeadowV,TwnhsE,TA,85000
166,1320,2008,288,1926,1,1950,1,7,5700,0,OldTown,1Fam,TA,116900
167,416,2009,440,1978,2,1978,1,6,2289,24,NPkVill,Twnhs,TA,148500
168,284,2010,280,1941,1,1950,0,4,12180,60,Edwards,2fmCon,Fa,80000
169,1385,2008,506,1984,1,1984,0,5,7400,0,Sawyer,1Fam,TA,152000
170,275,2010,319,1954,1,1954,0,6,8842,68,Edwards,1Fam,TA,155891
171,2024,2007,576,1920,1,1950,0,7,8850,60,BrkSide,1Fam,Gd,165000
172,68,2010,676,2009,2,2010,0,5,9215,92,Somerst,1Fam,Gd,204500
173,1910,2007,312,1942,1,1995,2,7,9480,79,NAmes,1Fam,Gd,146500
174,381,2009,478,1978,2,1978,1,5,11880,82,NWAmes,1Fam,TA,157000
175,1323,2008,342,1890,2,1999,1,7,10800,60,OldTown,1Fam,TA,184000
176,2432,2006,393,2002,2,2003,1,5,7861,0,Gilbert,1Fam,Gd,183200
177,777,2009,288,1962,1,1962,1,5,11616,0,Sawyer,1Fam,TA,139000
178,1107,2008,983,1993,2,1994,1,5,10542,96,NoRidge,1Fam,Gd,341000
179,30,2010,264,1971,1,1971,0,5,1680,21,BrDale,Twnhs,TA,96000
180,282,2010,440,2003,2,2004,0,5,8546,80,Edwards,1Fam,TA,140000
181,188,2010,923,1957,1,1996,0,7,7407,90,OldTown,1Fam,TA,149700
182,2356,2006,495,1975,1,1975,0,6,10140,78,NWAmes,1Fam,TA,153500
183,1554,2008,487,1952,1,1952,0,5,14584,80,IDOTRR,1Fam,Fa,13100
184,1464,2008,543,2003,2,2003,0,5,8158,65,CollgCr,1Fam,Gd,224900
185,2469,2006,453,2005,2,2005,1,5,7500,62,Somerst,1Fam,Gd,176000
186,1834,2007,541,1992,2,2000,1,5,10678,85,NoRidge,1Fam,Gd,285000
187,1779,2007,754,2007,2,2007,0,5,15256,49,Somerst,1Fam,Gd,282922
188,2569,2006,487,1966,2,1966,2,6,14200,88,NAmes,1Fam,Gd,226000
189,2334,2006,666,2006,2,2006,1,5,12438,82,StoneBr,1Fam,Ex,361919
190,2330,2006,670,2005,3,2006,1,5,16023,59,StoneBr,1Fam,Ex,457347
191,2119,2007,529,1976,0,1976,2,6,20064,155,ClearCr,1Fam,Gd,279000
192,988,2009,714,1977,2,1977,2,5,9819,0,Mitchel,1Fam,Gd,196000
193,382,2009,479,1976,2,1976,1,5,10400,80,NWAmes,1Fam,TA,152000
194,670,2009,968,1969,2,1969,0,5,11643,91,NAmes,Duplex,TA,200000
195,2760,2006,754,2005,2,2006,0,5,11645,78,CollgCr,1Fam,Ex,294900
196,543,2009,788,2008,2,2009,0,5,7328,61,SawyerW,1Fam,Gd,224243
197,2835,2006,528,1915,2,1950,0,3,7822,72,Edwards,1Fam,TA,92000
198,1735,2007,400,2007,2,2007,1,5,9018,65,Gilbert,1Fam,Gd,179540
199,448,2009,968,2003,2,2003,1,5,13472,103,NridgHt,1Fam,Ex,386250
200,2287,2007,297,1970,1,1970,0,5,1533,0,MeadowV,Twnhs,TA,106500
201,524,2009,812,2008,2,2008,1,5,11003,85,Somerst,1Fam,Ex,310000
202,1767,2007,600,1998,2,1998,1,5,10790,83,NoRidge,1Fam,Gd,252000
203,2206,2007,240,1941,2,1950,2,5,7128,53,Crawfor,1Fam,TA,164000
204,1740,2007,400,2007,2,2007,0,5,7713,64,Gilbert,1Fam,Gd,177594
205,199,2010,624,1936,1,1980,0,7,6240,52,BrkSide,1Fam,TA,123900
206,2214,2007,864,1918,2,1950,1,6,22420,86,Crawfor,1Fam,TA,239000
207,323,2010,528,1965,1,1977,1,5,15300,85,Mitchel,1Fam,TA,169000
208,2421,2006,420,2003,2,2004,1,5,3196,0,Blmngtn,TwnhsE,Gd,234000
209,952,2009,541,1977,1,1977,2,7,9360,72,Mitchel,1Fam,TA,173000
210,24,2010,480,1970,1,1970,1,7,11241,0,NAmes,1Fam,TA,149000
211,1139,2008,483,2007,2,2007,0,5,9260,81,SawyerW,1Fam,Gd,170000
212,518,2009,529,2008,2,2009,0,5,7993,90,Somerst,1Fam,Gd,225000
213,1390,2008,300,1963,1,2003,0,8,9239,94,Sawyer,1Fam,Gd,144900
214,277,2010,336,1968,1,1968,0,6,10044,60,Edwards,1Fam,TA,144000
215,54,2010,430,2004,2,2005,1,5,3182,43,Blmngtn,TwnhsE,Gd,192000
216,649,2009,230,1952,1,2005,0,8,7626,60,NAmes,1Fam,Gd,145500
217,2600,2006,280,1900,1,1998,0,8,7008,60,OldTown,1Fam,Fa,86900
218,617,2009,505,1953,1,1953,1,4,12160,128,NAmes,1Fam,TA,149500
219,2209,2007,240,1938,1,1950,1,7,6305,50,Crawfor,1Fam,Fa,119750
220,2814,2006,564,2005,2,2006,0,5,8846,68,CollgCr,1Fam,Gd,173900
221,2542,2006,368,1961,1,1961,0,6,10659,0,NAmes,1Fam,TA,136500
222,2323,2006,618,1994,2,1994,0,5,13108,68,StoneBr,1Fam,Gd,270000
223,1393,2008,564,1960,1,1975,1,7,13500,0,ClearCr,1Fam,TA,235000
224,490,2009,400,1999,2,2000,1,5,7750,62,Gilbert,1Fam,TA,156000
225,542,2009,576,2003,2,2004,0,5,12450,60,SawyerW,1Fam,Gd,153000
226,973,2009,402,1999,2,1999,0,5,4500,0,Mitchel,TwnhsE,TA,165000
227,1012,2008,656,2005,2,2007,1,5,11198,77,StoneBr,1Fam,Ex,325000
228,2218,2007,528,1941,2,1950,0,5,6221,79,Crawfor,2fmCon,TA,140000
229,2033,2007,658,1963,3,1963,1,6,13200,120,IDOTRR,1Fam,TA,202500
230,1071,2008,1052,2008,1,2008,1,5,8769,65,NridgHt,TwnhsE,Ex,367294
231,1583,2008,600,1988,2,1989,1,5,10200,85,Timber,1Fam,Gd,175000
232,2858,2006,642,1915,1,1970,1,5,9550,60,Crawfor,1Fam,Gd,140000
233,2265,2007,528,1985,2,1985,0,7,10331,42,Timber,1Fam,Gd,174000
234,1088,2008,400,2005,2,2005,0,5,9587,59,Gilbert,1Fam,Gd,190000
235,698,2009,0,1910,2,2002,0,8,9900,90,OldTown,1Fam,TA,129000
236,1896,2007,510,1959,1,1991,1,7,22002,0,NAmes,1Fam,Gd,200000
237,628,2009,509,1968,2,1968,1,6,13000,100,NAmes,1Fam,Gd,193500
238,1212,2008,504,1964,1,1964,0,7,8250,75,NAmes,1Fam,TA,145000
239,2864,2006,451,1929,2,1950,1,7,8170,81,Crawfor,1Fam,TA,218000
240,2740,2006,569,1952,1,2002,1,6,12048,80,Edwards,1Fam,TA,135000
241,2560,2006,240,1952,1,1952,1,6,10858,89,NAmes,1Fam,TA,146500
242,1716,2007,460,2005,2,2006,1,5,7577,61,NridgHt,TwnhsE,Gd,194700
243,1130,2008,462,2007,2,2008,0,5,7500,62,Somerst,1Fam,Gd,230348
244,201,2010,288,1923,1,1950,1,5,6120,51,OldTown,1Fam,TA,109500
245,2886,2006,576,1979,2,1979,1,6,23580,69,Mitchel,1Fam,Fa,242500
246,2328,2006,504,1987,2,1987,1,7,5306,44,StoneBr,TwnhsE,Gd,239000
247,2583,2006,286,1954,1,2000,0,8,8092,70,NAmes,1Fam,Gd,156000
248,1206,2008,352,1957,1,1957,0,6,8593,77,NAmes,1Fam,TA,109008
249,2242,2007,256,1939,1,1950,0,4,11067,64,IDOTRR,1Fam,TA,68104
250,1105,2008,751,1995,2,1995,1,7,11929,0,NoRidge,1Fam,Gd,290000
251,121,2010,504,1966,1,1966,0,5,9900,90,NAmes,1Fam,TA,159000
252,1223,2008,231,1937,1,1950,0,7,4882,50,BrkSide,1Fam,TA,87000
253,265,2010,670,2001,2,2002,1,5,11423,0,CollgCr,1Fam,Gd,272000
254,2813,2006,502,2005,2,2006,0,5,8772,65,CollgCr,1Fam,Gd,198000
255,1294,2008,440,1940,2,1985,0,6,7628,63,OldTown,1Fam,TA,119164
256,2745,2006,0,1954,1,1954,1,5,8335,77,Edwards,1Fam,TA,93000
257,1094,2008,431,2000,2,2001,1,5,8220,71,Gilbert,1Fam,TA,226750
258,651,2009,420,1900,2,1970,0,5,10615,107,OldTown,2fmCon,TA,95000
259,198,2010,312,1948,1,1950,0,7,6000,50,BrkSide,1Fam,TA,139900
260,131,2010,0,1940,1,1966,0,2,5350,55,BrkSide,1Fam,Fa,76500
261,1258,2008,308,1940,1,2005,0,7,5400,60,OldTown,1Fam,TA,86900
262,1599,2008,257,1968,1,1968,0,6,17979,0,Mitchel,1Fam,Gd,152500
263,1508,2008,286,1953,1,1953,0,5,9520,68,Edwards,1Fam,TA,99000
264,615,2009,0,1940,1,1950,0,7,5330,50,BrkSide,1Fam,Fa,82500
265,1815,2007,529,1992,2,1992,0,5,8012,50,SawyerW,TwnhsE,Gd,179200
266,2712,2006,286,1966,1,1966,0,6,9000,75,Sawyer,1Fam,TA,142500
267,2051,2007,440,1964,1,1964,0,3,14299,62,Sawyer,1Fam,TA,115400
268,1863,2007,650,2001,2,2001,1,5,7050,0,Somerst,1Fam,Gd,226000
269,2510,2006,480,2005,2,2005,0,5,3180,30,Somerst,TwnhsE,Gd,144152
270,1069,2008,795,2003,2,2003,1,5,16451,112,NridgHt,1Fam,Gd,370000
271,336,2010,495,1984,1,1984,0,7,12887,76,Mitchel,1Fam,Gd,149900
272,2417,2006,429,2006,2,2006,0,5,15578,105,Gilbert,1Fam,TA,172785
273,1962,2007,720,1950,1,2002,0,8,7200,60,NAmes,1Fam,Gd,129000
274,372,2009,435,1979,2,1998,1,5,17043,48,NWAmes,1Fam,TA,181000
275,2578,2006,300,1956,1,1956,1,6,10000,125,NAmes,1Fam,TA,148000
276,2824,2006,0,2002,1,2002,0,5,8050,75,Edwards,1Fam,Gd,117250
277,471,2009,430,2005,2,2006,1,5,3182,43,Blmngtn,TwnhsE,Gd,192500
278,1544,2008,452,1980,2,1980,1,6,1950,24,Blueste,Twnhs,TA,151000
279,2141,2007,461,1972,1,1972,0,5,7700,70,CollgCr,1Fam,TA,112500
280,2008,2007,495,1920,1,1950,1,5,8731,98,BrkSide,1Fam,TA,144000
281,1075,2008,944,2007,2,2008,1,5,8232,89,NridgHt,TwnhsE,Ex,370967
282,34,2010,440,1975,2,1975,1,6,2280,24,NPkVill,Twnhs,Gd,149900
283,847,2009,493,2002,2,2002,0,5,8935,68,CollgCr,1Fam,Gd,195000
284,1629,2007,392,1992,2,1992,1,5,9125,0,Gilbert,1Fam,Gd,163900
285,2073,2007,552,1984,2,1984,1,5,11075,0,ClearCr,1Fam,TA,182000
286,960,2009,780,2008,2,2008,1,5,13438,113,Timber,1Fam,Ex,410000
287,955,2009,672,1991,2,1991,0,5,11070,82,Mitchel,1Fam,TA,152000
288,2476,2006,462,2005,2,2005,0,5,7800,65,SawyerW,1Fam,Gd,184000
289,1590,2008,784,1997,2,1998,0,5,7060,78,Mitchel,Duplex,TA,206300
290,2913,2006,928,1970,2,1970,0,5,11836,0,Mitchel,Duplex,TA,146500
291,149,2010,263,1956,1,1956,0,5,8382,60,NAmes,1Fam,TA,108000
292,2525,2006,487,1968,3,1992,1,6,10192,102,NWAmes,1Fam,Gd,170000
293,1470,2008,420,2004,1,2004,0,5,4426,0,CollgCr,TwnhsE,Gd,145000
294,412,2009,440,1975,2,1975,1,5,2280,24,NPkVill,Twnhs,TA,123000
295,1399,2008,431,1996,1,1997,1,5,2887,0,ClearCr,1Fam,Gd,173000
296,183,2010,484,1928,1,2003,0,8,8520,60,OldTown,1Fam,TA,105900
297,974,2009,297,1973,1,1973,0,5,1596,21,MeadowV,Twnhs,TA,91000
298,930,2009,295,1949,2,2005,1,7,15600,78,Crawfor,1Fam,Fa,158000
299,881,2009,572,2004,2,2004,0,5,9313,65,CollgCr,1Fam,Gd,190000
300,1180,2008,477,1995,1,1995,1,5,11064,22,Veenker,TwnhsE,Gd,217500
301,1553,2008,356,1958,2,1958,0,5,9000,75,IDOTRR,1Fam,TA,165500
302,928,2009,234,1941,1,1950,1,7,12000,75,Crawfor,1Fam,Fa,174500
303,1512,2008,312,1954,1,1954,0,6,7692,62,Edwards,1Fam,TA,100000
304,3,2010,312,1958,1,1958,0,6,14267,81,NAmes,1Fam,Gd,172000
305,2140,2007,440,1975,1,1975,0,6,9675,75,CollgCr,1Fam,TA,120000
306,553,2009,294,1950,1,1950,0,4,8400,60,SawyerW,1Fam,TA,82000
307,2594,2006,649,1947,1,1950,0,6,7500,50,NAmes,1Fam,TA,127000
308,1314,2008,396,1917,1,1950,1,5,9600,60,OldTown,1Fam,TA,129500
309,366,2009,565,1984,1,1984,1,5,5814,0,StoneBr,TwnhsE,Gd,187500
310,1462,2008,715,2002,2,2003,1,5,14860,0,CollgCr,1Fam,Gd,300000
311,2541,2006,495,1971,2,1971,1,5,14803,0,NWAmes,1Fam,TA,190000
312,2088,2007,280,1920,2,1950,0,5,7550,50,Edwards,1Fam,TA,96000
313,527,2009,438,2006,2,2007,0,5,8125,65,Somerst,1Fam,Gd,241000
